id,sequence,year,type,social_event,title,date,time,organization,subject1,subject2,keywords
D071D,570,2004,Division or Discussion Group,Y,Cash Bar and Dinner Arranged by the Division on Sixteenth- and Seventeenth-Century Spanish Drama,29-DEC-04,6:30 p.m.,Sixteenth- and Seventeenth-Century Spanish Drama,Spanish Literature,Before 1700/Drama,
A061A,514,2004,Allied Organization,,The Master Builders,29-DEC-04,1:45+3:00 p.m.,Henry James Society,American Literature,Before 1900,
A061B,772,2004,Allied Organization,,"Henry James, Future Tense",30-DEC-04,1:45+3:00 p.m.,Henry James Society,American Literature,Before 1900,
D018A,345,2004,Division or Discussion Group,,Revolution,29-DEC-04,8:30+9:45 a.m.,Nineteenth-Century American Literature,American Literature,Before 1900,
D018B,230,2004,Division or Discussion Group,,The Critical Archive: What Nineteenth-Century Americanists Should Be Reading but Aren't,28-DEC-04,1:45+3:00 p.m.,Nineteenth-Century American Literature,American Literature,Before 1900,
D032A,609,2004,Division or Discussion Group,,England in Europe,29-DEC-04,9:00+10:15 p.m.,Twentieth-Century English Literature,British Literature,Twentieth Century,
D047A,608,2004,Division or Discussion Group,,"Smart Classrooms, Hybrid Courses, and the Teaching of Languages",29-DEC-04,9:00+10:15 p.m.,the Teaching of Language,The Teaching of Language and Literature,Foreign Languages,
D029A,145,2004,Division or Discussion Group,,Psychopathologies of Everyday Romanticism,28-DEC-04,10:15+11:30 a.m.,the English Romantic Period,British Literature,Nineteenth Century/Romantics,
D029B,378,2004,Division or Discussion Group,,Romanticism's Short Narratives,29-DEC-04,10:15+11:30 a.m.,the English Romantic Period,British Literature,Nineteenth Century/Romantics,
D047C,65,2004,Division or Discussion Group,,The College Board Articulation:  From High School to College,28-DEC-04,8:30+9:45 a.m.,the Teaching of Language,The Teaching of Language and Literature,Foreign Languages,
A083A,730,2004,Allied Organization,,"Modernism, Metaphor, and O'Neill",30-DEC-04,12:00 noon+1:15 p.m.,Eugene O'Neill Society,American Literature,Twentieth Century,
M005A,64,2004,MLA Organization,,Plagiarism and the Internet,28-DEC-04,8:30+9:45 a.m.,Committee on Academic Freedom and Professional Rights and Responsibilities,The Teaching of Language and Literature,General,
D052B,379,2004,Division or Discussion Group,,Reading the Renaissance,29-DEC-04,10:15+11:30 a.m.,Sixteenth-Century French Literature,French Literature,Medieval and Renaissance,
D052C,629,2004,Division or Discussion Group,,Politics and Pleasure,29-DEC-04,9:00+10:15 p.m.,Sixteenth-Century French Literature,French Literature,Medieval and Renaissance,
M001A,1,2004,MLA Organization,,A Preconvention Workshop for Job Seekers: The Job Search in English,27-DEC-04,3:30+4:45 p.m.,Association of Departments of English,The Profession,English and American,
A046B,729,2004,Allied Organization,,Business Meeting of the Robert Frost Society,30-DEC-04,12:00 noon+1:15 p.m.,Robert Frost Society,American Literature,Twentieth Century,
M009A,2,2004,MLA Organization,,A Preconvention Workshop for Members of Search Committees,27-DEC-04,3:30+4:45 p.m.,ADFL Executive Committee,The Profession,Foreign Languages,
D100,425,2004,Division or Discussion Group,,"Hebrew Letters, Jewish Polemic",29-DEC-04,10:15+11:30 a.m.,Hebrew Literature,Other Literatures,Jewish,
D124,340,2004,Division or Discussion Group,,"Childhood, Family, and the Formation of Sephardi Identities",28-DEC-04,7:15+8:30 p.m.,Sephardic Studies,Other Literatures,Jewish,
D058C,605,2004,Division or Discussion Group,,"Text as Spectacle, Spectacle as Text $cII$k",29-DEC-04,7:15+8:30 p.m.,German Literature to 1700,German Literature,Before 1700,
D128,277,2004,Division or Discussion Group,,Translation and Psychoanalysis,28-DEC-04,3:30+4:45 p.m.,Translation,General Literature,Translation,
D030A,229,2004,Division or Discussion Group,,Hybrids $cI$k: Double Forms,28-DEC-04,1:45+3:00 p.m.,the Victorian Period,British Literature,Nineteenth Century/Victorian,
A016A,234,2004,Allied Organization,,The Material Electronic Text,28-DEC-04,3:30+4:45 p.m.,Association for Computers and the Humanities,General Literature,"Electronic Technology (Teaching, Research, and Theory)",
